,evolving_skies_bb,lost_origin_bb,fusion_strike_bb,brilliant_stars_bb,chilling_reign_bb,silver_tempest_bb,astral_radiance_bb,battle_styles_bb,vivid_voltage_bb,darkness_ablaze_bb,rebel_clash_bb,paldea_evolved_bb,twilight_masquerade_bb,team_up_bb,cosmic_eclipse_bb,unbroken_bonds_bb,unified_minds_bb,ultra_prism_bb,crimson_invasion_bb,crown_zenith_etb,celebrations_etb,shining_fates_etb,hidden_fates_etb,scarlet_violet_151_etb,scarlet_violet_151_bundle,umbreon_vmax_215,rayquaza_vmax_218,giratina_v_186,gengar_vmax_271,charizard_v_154,roaring_skies_bb,evolutions_bb,flashfire_bb,ancient_origins_bb,burning_shadows_bb,lost_thunder_bb,obsidian_flames_bb,paradox_rift_bb,temporal_forces_bb,jp_vstar_universe_bb,jp_vmax_climax_bb,jp_shiny_star_v_bb,jp_tag_all_stars_bb,jp_shiny_treasure_bb,op01_romance_dawn_bb,op02_paramount_war_bb,op03_pillars_strength_bb,op05_new_era_bb,op06_wings_captain_bb,magikarp_203,greninja_ex_214,latias_latios_170,charizard_gx_sv49,stellar_crown_bb,surging_sparks_bb,lugia_v_186,blaziken_vmax_201,charizard_ex_199,pikachu_ex_238,galarian_moltres_v_177,charmander_4,latias_ex_239,aerodactyl_v_180,milotic_ex_237,bulbasaur_1,snorlax_224,celebi_v_245,zapdos_ex_202,venusaur_ex_198,blastoise_ex_200,zeraora_v_166,shadow_rider_calyrex_vmax_205,groudon_199,charizard_ex_223,galarian_articuno_v_170,ice_rider_calyrex_vmax_203,raging_bolt_ex_208,eevee_188,squirtle_148,perrin_220,tornadus_v_185,galarian_zapdos_v_174,arceus_v_166,galarian_rapidash_v_168,pikachu_ex_247,alakazam_ex_201,charmander_168,galarian_slowking_v_179,bulbasaur_143,pikachu_173,squirtle_170,tyranitar_222,umbreon_130,iron_crown_ex_206,charizard_vstar_174,carmine_217,walking_wake_ex_205,terapagos_ex_170,teal_mask_ogerpon_24,bulbasaur_166,hydreigon_ex_240,raging_bolt_111,mortys_conviction_211,gastly_177
2021-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,,,,,,,,84.08,145.31,,,,,,,,,,,,,43.07,,,,,,,,,,,2543.05,,,,,,,,,,,,,,,,,,,,406.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-01,,,,,90.23,,,86.12,142.83,148.72,132.33,,,85.07,7.73,275.26,253.32,279.38,128.36,,,50.77,,,,,,,,,272.81,501.0,2730.66,86.12,294.07,312.98,,,,,,,,,,,,,,,,,329.78,,,,106.73,,,94.01,,,,,,96.72,,,,,53.97,94.9,,,53.35,43.49,,,,,27.73,62.91,,31.09,,,,30.25,,,,,,,,,,,,,,,,
2021-07-01,,,,,105.1,,,84.33,107.21,148.2,132.43,,,85.13,7.74,297.61,249.31,264.86,126.12,,,46.67,24.17,,,,,,,,288.4,622.21,2669.64,86.19,279.71,317.41,,,,,,,,,,,,,,,,,311.11,,,,121.08,,,99.54,,,,,,96.13,,,,,47.93,83.7,,,44.56,39.26,,,,,25.8,60.12,,27.31,,,,32.77,,,,,,,,,,,,,,,,
2021-08-01,,,,,102.78,,,87.1,113.02,135.03,124.02,,,85.83,7.8,287.09,256.85,267.02,121.64,,,47.05,58.62,,,,,,,,315.31,606.09,2691.39,86.89,283.97,303.95,,,,,,,,,,,,,,,,,313.64,,,,122.2,,,97.64,,,,,,87.1,,,,,45.97,81.59,,,48.75,44.5,,,,,24.16,58.14,,29.67,,,,26.15,,,,,,,,,,,,,,,,
2021-09-01,,,,,109.9,,,99.32,128.28,148.69,126.1,,,87.27,12.5,295.49,267.2,271.51,133.44,,,45.68,124.98,,,190.06,217.87,,,,337.02,600.78,2458.99,88.35,263.95,312.59,,,,,,,,,,,,,,,,,297.44,,,,99.51,,,85.91,,,,,,101.25,,,,,46.8,67.23,,,43.53,41.37,,,,,22.16,49.13,,28.15,,,,25.41,,,,,,,,,,,,,,,,
2021-10-01,,,,,110.63,,,103.14,136.73,148.5,125.22,,,86.66,12.41,280.74,259.18,273.27,122.85,,,49.21,127.32,,,167.33,195.15,,,,312.4,572.12,2441.73,87.73,242.22,329.4,,,,,,,,,,,,,,,,,281.1,,,,106.92,,,77.03,,,,,,93.66,,,,,43.51,64.62,,,38.2,31.67,,,,,19.26,43.7,,27.39,,,,23.62,,,,,,,,,,,,,,,,
2021-11-01,,,22.14,,94.08,,,82.79,112.98,144.33,129.54,,,602.07,404.5,290.59,248.71,282.71,127.09,,,48.57,190.49,,,167.13,163.59,,113.52,,314.79,551.73,2288.45,375.06,280.94,346.01,,,,,,,,,,,,,,,,,304.49,,,,90.85,,,76.16,,,,,,69.47,32.11,,,,42.27,54.01,,,34.4,35.42,,,,,18.01,39.34,,25.23,,,,19.75,,,,,,,,,,,,,,,,
2021-12-01,,,95.36,,87.42,,,84.33,96.25,106.84,119.39,,,600.44,401.77,265.36,264.9,280.35,133.32,,,49.55,120.18,,,158.94,150.11,,107.69,,328.33,563.99,2029.86,404.88,287.03,315.4,,,,,,,,,,,,,,,,,273.73,,,,83.89,,,64.9,,,,,,78.29,29.14,,,,39.51,48.57,,,35.55,35.32,,,,,15.67,37.09,,24.7,,,,23.62,,,,,,,,,,,,,,,,
2022-01-01,,,93.03,,85.17,,,85.42,112.08,112.08,121.14,,,557.28,417.35,298.63,274.83,269.25,128.9,,,46.63,122.81,,,181.58,175.87,,93.93,,354.18,633.81,2200.45,459.09,303.39,332.32,,,,,,,,,,,,,,,,,277.97,,,,95.06,,,70.39,,,,,,70.84,27.35,,,,35.87,52.04,,,33.63,36.18,,,,,14.56,36.67,,25.99,,,,20.03,,,,,,,,,,,,,,,,
2022-02-01,,,92.33,67.97,75.48,,,78.47,129.36,114.48,128.21,,,562.31,409.62,284.43,281.73,258.27,127.45,,,53.04,123.28,,,190.81,185.58,,94.58,228.06,335.83,619.35,2180.47,496.89,296.8,319.74,,,,,,,,,,,,,,,,,324.61,,,,87.19,,,74.7,,,,,,67.47,24.36,,,,37.01,46.79,,,30.41,34.69,,,,,16.99,39.35,105.09,23.9,,,,19.44,,,,,,,316.54,,,,,,,,,
2022-03-01,125.97,,92.92,113.33,77.72,,,78.84,115.57,113.33,129.15,,,564.41,407.64,298.37,286.69,263.69,127.67,,,41.21,129.69,,,285.13,179.25,,103.03,182.17,323.2,649.54,2116.42,521.71,305.98,323.08,,,,,,,,,,,,,,,,239.05,302.71,,,,86.03,,,62.33,,,,,,76.15,23.85,,,,37.63,44.8,,,31.29,35.53,,,,,15.71,40.24,57.32,26.01,,,,20.74,,,,,,,155.44,,,,,,,,,
2022-04-01,129.95,,95.19,133.76,84.25,,,84.86,121.84,121.62,220.35,,,629.27,434.11,319.94,300.83,310.49,144.38,,61.88,40.09,136.1,,,333.19,221.34,,99.96,197.54,376.04,754.46,2300.63,563.71,303.96,340.7,,,,,,,,,,,,,,,,211.68,342.72,,,,101.74,,,81.37,,,,,,79.02,30.01,,,,42.94,47.04,,,38.08,42.84,,,,,20.47,49.37,47.38,27.46,,,,21.94,,,,,,,155.65,,,,,,,,,
2022-05-01,157.79,,75.04,125.31,72.77,,,93.69,118.35,122.72,136.38,,,614.46,450.18,362.93,323.01,293.23,160.11,,22.01,36.78,133.85,,,278.46,212.56,,104.72,173.11,347.57,675.41,2243.12,584.77,317.73,330.44,,,,,,,,,,,,,,,,218.13,328.58,,,,92.82,,,73.33,,,,,,74.26,23.84,,,,44.08,52.35,,,37.13,46.02,,,,,18.03,42.23,42.61,28.31,,,,19.94,,,,,,,115.32,,,,,,,,,
2022-06-01,140.34,,62.14,91.61,74.76,,96.68,92.48,126.84,114.43,140.2,,,695.66,478.63,354.18,339.8,327.86,168.42,,75.43,34.46,137.57,,,296.13,181.04,,93.26,159.19,358.96,677.25,2313.48,646.2,339.82,313.14,,,,,,,,,,,,,,,,224.95,315.45,,,,95.19,,,81.84,,,,,,76.47,25.02,,,,37.17,39.92,,,34.24,36.85,,,,,19.15,37.74,38.39,31.44,,,,21.86,,,,,,,127.73,,,,,,,,,
2022-07-01,152.42,,66.26,129.26,81.43,,94.19,86.34,119.58,117.74,158.11,,,804.53,444.9,353.7,316.25,319.69,176.6,,74.82,38.75,139.53,,,275.1,188.62,,100.91,154.58,371.98,676.54,2371.03,620.17,348.3,327.0,,,,,,,,,,,,,,,,243.12,323.77,,,,91.2,,,81.04,,,,,,73.58,27.33,,,,39.25,44.15,,,36.37,35.67,,,,,23.23,34.36,38.21,29.08,,,,24.02,,,,,,,98.11,,,,,,,,,
2022-08-01,161.88,,91.63,136.37,85.78,,89.77,88.41,117.21,124.69,160.93,,,816.49,448.45,346.13,333.42,336.66,170.07,,80.79,32.42,141.15,,,309.27,202.28,,113.47,160.67,391.52,689.27,2358.01,637.55,354.11,336.17,,,,,,,,,,,,,,,,246.27,287.33,,,,92.5,,,88.85,,,,,,72.61,30.86,,,,42.0,40.9,,,34.9,35.8,,,,,23.33,43.78,36.91,30.41,,,,24.94,,,,,,,102.24,,,,,,,,,
2022-09-01,184.12,122.19,101.72,144.89,90.24,,96.87,99.4,131.8,128.18,164.95,,,849.9,500.53,375.0,340.31,361.16,183.12,,59.18,36.62,149.87,,,426.73,228.9,244.03,146.92,185.15,408.38,670.94,2402.01,678.98,350.39,345.48,,,,,,,232.1,,,,,,,,,250.86,352.19,,,,109.12,,,91.56,,,155.12,,,76.72,33.54,,,,43.37,45.78,,,37.9,37.51,,,,,19.95,43.11,39.42,29.5,,,,26.45,,,,,,,95.75,,,,,,,,,
2022-10-01,213.18,91.41,102.96,142.97,91.89,,93.82,100.11,136.03,133.1,161.88,,,865.19,497.24,350.5,341.54,359.12,180.9,,62.98,41.69,142.14,,,570.07,276.79,251.13,177.8,193.8,402.35,727.44,2341.96,670.4,346.76,328.6,,,,,,,242.08,,,,,,,,,293.83,331.49,,,,110.05,,,86.37,,,132.84,,,76.33,34.28,,,,45.98,42.77,,,42.94,36.62,,,,,25.95,45.78,39.88,33.68,,,,33.54,,,,,,,84.51,,,,,,,,,
2022-11-01,246.88,368.39,101.7,138.21,96.17,96.86,85.72,92.98,142.13,123.98,156.5,,,814.22,476.05,348.2,325.63,353.53,168.21,,52.3,34.87,134.05,,,405.31,229.43,241.08,150.26,174.1,382.59,755.48,2253.48,645.4,334.16,316.84,,,,,,,268.16,,,,,,,,,283.11,308.86,,,252.54,127.17,,,112.64,,,114.22,,,65.38,36.51,,,,58.31,45.65,,,41.88,33.9,,,,,23.34,48.43,38.74,37.37,,,,34.05,,,,,,,82.81,,,,,,,,,
2022-12-01,268.85,117.67,103.56,156.69,103.42,96.71,91.92,103.17,138.1,129.81,127.45,,,816.08,451.06,361.14,309.55,349.41,165.72,,65.71,39.51,129.45,,,426.8,225.28,244.95,136.74,148.89,401.0,620.14,2182.41,624.03,365.82,318.93,,,,105.21,,,263.51,,,,,,,,,233.74,281.41,,,198.35,132.05,,,108.59,,,110.78,,,65.66,33.3,,,,51.31,37.13,,,41.79,42.21,,,,,26.11,49.09,38.76,36.09,,,,30.11,,,,,,,79.73,,,,,,,,,
2023-01-01,312.23,142.65,116.43,168.19,122.13,125.57,100.0,85.68,117.28,142.62,149.94,,,841.23,529.36,357.06,341.14,345.83,178.46,42.63,60.83,46.07,152.11,,,432.45,255.01,229.49,136.23,140.67,414.72,681.24,2165.59,623.62,331.78,359.41,,,,99.17,94.06,,259.66,,,,,,,,,253.44,315.81,,,178.33,134.09,,,104.68,,,110.01,,,63.43,32.26,,,,53.9,46.08,,,38.28,36.73,,,,,29.67,42.75,32.26,36.79,,,,36.26,,,,,,,78.31,,,,,,,,,
2023-02-01,310.65,132.95,118.36,153.14,130.31,130.53,113.56,129.39,129.73,132.5,122.52,,,933.21,612.56,383.09,355.63,334.55,179.42,49.48,70.39,33.93,134.68,,,424.08,241.75,246.91,159.27,144.26,446.48,677.18,2214.39,637.51,311.48,365.22,,,,95.84,93.65,120.16,280.36,,,,,,,,,259.16,291.29,,,181.28,132.02,,,96.59,,,117.11,,,75.77,27.34,,,,55.62,44.49,,,39.73,45.46,,,,,27.65,41.25,33.46,38.95,,,,37.52,,,,,,,70.68,,,,,,,,,
2023-03-01,347.1,132.04,120.36,142.93,133.91,121.54,109.37,94.53,117.14,136.44,152.5,,,865.93,535.42,403.72,389.24,349.86,191.59,56.86,62.37,45.84,133.52,,,499.79,247.15,262.3,160.52,127.7,441.71,680.44,1987.98,784.07,325.55,364.83,,,,91.25,91.31,121.51,301.2,,,,,,,,,240.72,285.2,,,160.93,129.64,,,104.08,,,108.67,,,77.95,29.09,,,,55.02,42.19,,,39.08,38.06,,,,,23.44,39.97,32.81,32.1,,,,27.47,,,,,,,65.9,,,,,,,,,
2023-04-01,342.47,147.15,118.16,154.09,126.21,115.57,110.87,95.43,117.73,139.4,107.41,,,977.35,469.42,414.54,394.68,372.77,183.3,40.35,64.22,39.88,136.07,,,498.04,236.88,267.97,177.89,122.75,497.05,668.7,2204.34,808.28,321.37,358.05,,,,79.22,84.49,108.77,320.08,,,,,,,,,399.31,283.84,,,145.03,150.77,,,105.56,,,98.79,,,69.09,23.11,,,,49.63,43.54,,,34.9,39.88,,,,,22.53,40.79,29.01,33.58,,,,32.12,,,,,,,63.49,,,,,,,,,
2023-05-01,367.68,140.21,111.49,145.67,131.84,125.07,113.43,104.7,116.46,136.25,158.44,,,1020.21,578.82,434.14,441.81,416.45,177.01,41.58,70.81,30.28,140.14,,,564.5,260.57,305.13,187.36,114.47,507.78,702.9,2888.27,819.9,335.85,423.92,,,,218.68,101.82,123.57,380.66,,,,,,,,,889.43,348.19,,,148.99,160.25,,,102.49,,,109.31,,,64.48,27.95,,,,46.9,46.12,,,35.8,41.92,,,,,21.68,48.09,32.29,37.27,,,,28.88,,,,,,,60.56,,,,,,,,,
2023-06-01,362.99,124.82,124.45,131.07,120.4,115.01,103.44,93.47,115.62,128.05,146.9,172.79,,1538.92,699.67,455.46,532.58,441.47,203.97,39.57,66.25,31.28,130.21,,,515.57,230.26,277.47,181.31,119.8,478.28,696.68,2502.27,786.71,338.18,422.5,,,,122.78,111.29,146.53,523.53,,,,,,,59.81,,873.92,292.3,,,156.16,179.43,,,103.4,,,93.16,,,61.65,23.71,,,,45.59,43.82,,,36.11,40.49,,,,,23.2,43.51,25.3,36.28,,,,28.52,,,,27.91,,,50.61,,,,,,,,,
2023-07-01,363.74,129.2,119.16,121.77,129.14,120.75,119.06,96.72,114.29,125.21,176.76,94.99,,1486.33,716.79,449.53,550.97,475.53,210.9,50.84,64.86,37.19,138.48,,,524.21,193.1,254.89,167.81,112.48,546.52,653.58,2631.46,816.38,372.66,417.02,,,,99.02,164.16,139.3,474.03,,,,,,,45.81,,862.88,269.21,,,122.36,170.83,,,94.29,,,91.31,,,63.94,27.67,,,,43.27,40.75,,,36.74,36.27,,,,,19.5,38.58,26.47,32.66,,,,28.54,,,,20.41,,,55.67,,,,,,,,,
2023-08-01,386.33,141.24,126.69,124.86,133.95,100.97,106.61,91.47,111.41,119.33,222.14,80.36,,1615.54,784.77,489.36,539.68,526.56,202.34,45.87,65.4,30.2,133.32,,,473.11,214.8,262.98,176.77,107.34,493.94,689.67,2653.54,781.69,369.36,456.54,89.13,,,106.0,148.44,137.7,475.64,,,,,,,57.44,,830.28,289.55,,,133.55,153.28,,,96.52,,,96.18,,,58.94,24.58,,,,37.96,42.75,,94.4,31.05,32.93,,,,,25.13,37.5,22.63,31.54,,,,30.64,,,,19.48,1.6,,53.61,,,,,,,,,
2023-09-01,397.47,117.25,136.57,111.24,130.46,106.51,110.83,107.83,103.78,108.88,194.51,84.73,,1724.35,780.3,505.01,569.99,544.38,203.84,46.81,69.67,39.02,144.38,49.23,,462.72,191.72,267.46,169.23,106.51,534.22,689.23,2463.44,861.54,382.85,472.88,87.57,,,91.0,142.57,139.65,491.14,,,,,,,56.47,,939.8,256.94,,,122.65,151.48,104.13,,99.98,1.14,,84.88,,1.14,57.75,23.43,46.29,40.67,46.76,37.9,43.31,,75.74,30.3,33.61,,,,,18.38,35.27,26.51,31.24,,42.6,19.9,23.66,,17.39,15.47,23.28,1.18,,47.96,,,,,10.03,,,,
2023-10-01,401.62,123.57,127.19,115.46,141.24,101.25,109.88,93.97,96.66,131.07,257.71,94.95,,1611.85,778.57,497.32,534.25,538.23,223.42,47.86,63.62,32.97,140.96,43.82,33.91,417.39,203.72,235.87,167.45,95.2,534.33,700.81,2508.71,852.56,370.22,445.13,94.89,,,89.99,143.93,139.28,452.19,,,,,,,47.58,,749.01,235.51,,,114.12,144.61,101.74,,87.61,1.11,,75.73,,1.13,52.98,21.47,37.45,38.96,43.88,37.68,33.91,,71.13,36.62,27.94,,,,,21.56,39.06,21.2,32.96,,33.91,26.02,26.8,,17.8,21.2,21.41,1.29,,48.05,,,,,19.31,,,,
2023-11-01,391.39,125.48,127.4,122.63,135.99,94.08,95.68,94.12,99.69,112.95,250.66,91.07,,1644.58,865.71,494.25,545.03,558.21,176.73,32.23,61.97,39.63,141.44,41.46,32.0,415.27,192.28,219.84,163.8,91.5,497.33,632.67,2363.6,848.15,333.6,477.26,90.22,79.35,,90.22,131.93,126.21,459.8,,,,,,,46.93,,678.6,230.92,,,112.19,142.61,107.07,,86.63,1.05,,78.39,,1.09,52.88,23.34,34.63,36.45,41.71,37.77,40.1,33.07,54.68,31.88,28.03,,,,,20.42,32.19,18.64,33.26,,32.01,28.78,24.67,,18.23,22.1,17.72,0.91,,48.97,,,,,19.45,,,,
2023-12-01,363.65,124.46,127.93,122.87,131.01,99.28,106.44,99.29,122.36,103.68,248.56,75.89,,1650.57,767.97,496.85,526.6,517.96,180.69,28.69,62.01,35.23,130.36,35.24,31.19,418.21,187.33,196.64,170.76,90.98,505.95,677.88,2293.41,815.53,328.26,492.13,81.31,79.96,,100.55,128.75,119.72,420.99,80.89,505.97,114.62,63.88,245.71,,48.79,,658.82,273.54,,,110.23,120.72,97.3,,96.67,0.97,,80.41,,10.81,46.98,22.58,30.72,34.33,36.59,36.59,40.95,26.19,50.6,31.62,27.53,,,,,16.52,34.33,19.87,33.39,,28.35,22.55,23.94,,13.34,22.58,17.64,1.35,,52.28,,,,,18.58,,,,
2024-01-01,417.65,125.42,133.92,144.8,156.62,121.02,119.89,102.4,123.58,127.81,170.09,89.92,,1613.88,845.14,507.6,535.84,559.66,185.83,36.58,74.58,37.91,129.92,46.93,37.81,466.48,190.28,230.55,173.0,89.44,557.51,736.73,2325.47,871.5,368.89,480.48,100.29,82.23,,100.98,130.08,112.22,444.32,56.38,516.46,119.34,64.56,255.82,,60.05,,535.95,289.06,,,111.7,134.58,93.84,,85.31,1.01,,78.39,,1.57,55.32,21.86,31.36,34.16,43.04,38.73,45.65,24.9,47.03,35.4,32.28,,,,,18.76,37.57,23.45,33.19,,28.59,25.13,24.42,,13.82,20.98,18.44,2.06,,49.24,,,,,20.06,,,,
2024-02-01,488.06,135.97,142.77,129.56,154.16,107.99,121.8,97.1,107.22,129.33,166.02,89.03,,1727.71,797.76,524.77,546.49,572.02,199.36,36.9,71.68,34.4,130.96,39.21,37.33,496.83,208.09,230.65,171.97,94.78,568.7,728.7,2390.09,850.42,397.47,532.12,98.76,76.87,,87.69,118.06,110.36,452.72,47.19,435.14,115.18,198.36,239.51,,55.53,,358.58,271.5,,,102.23,137.63,93.96,,89.72,1.01,,78.41,,1.11,54.43,23.22,31.2,34.6,36.78,35.54,40.29,26.75,46.13,32.72,29.52,,,,,18.44,35.1,18.44,35.51,,24.0,25.99,23.07,,13.84,21.68,14.3,1.64,,48.9,,,,,16.15,,,,
2024-03-01,618.37,163.78,206.38,146.79,163.9,111.63,123.92,99.04,119.32,138.47,166.71,87.21,,1780.5,787.44,540.88,637.75,561.27,188.81,34.97,74.1,32.01,135.07,45.84,36.58,544.1,217.19,233.81,198.25,97.27,560.47,684.15,2547.6,856.76,393.88,534.09,97.43,83.33,88.01,72.3,115.81,94.96,417.57,40.8,430.5,124.42,203.17,258.1,,61.61,,376.41,295.75,,,114.19,140.12,87.92,,94.28,1.46,,77.35,,1.62,59.28,22.23,30.11,34.72,37.98,36.01,39.71,22.7,45.5,36.13,30.44,61.35,,,,18.53,34.28,23.15,31.03,,21.77,21.54,24.32,,14.69,21.01,14.82,1.52,121.36,47.8,,55.07,,,16.91,,,43.54,24.88
2024-04-01,614.52,218.73,220.68,144.65,194.94,123.18,149.32,100.32,112.04,129.84,188.98,89.83,,1822.74,792.81,568.36,644.45,569.27,186.38,41.05,64.62,34.44,128.82,43.52,41.99,666.78,269.23,311.81,280.94,114.21,558.68,704.35,2525.25,841.65,387.44,538.32,91.92,89.63,87.55,62.65,113.62,83.04,417.78,44.32,443.27,247.97,183.4,229.68,157.32,82.85,,495.77,279.94,,,160.41,200.71,84.51,,133.75,1.67,,83.32,,1.45,55.78,35.11,31.5,32.2,35.31,32.66,46.66,27.99,42.93,37.29,32.61,61.83,,,,17.89,37.93,25.09,32.2,,25.2,24.26,26.93,,14.34,20.81,19.12,1.23,91.45,46.46,,46.66,,,16.8,,,76.51,18.65
